Year,Minifigs,Pieces,UKPrice,USPrice,CAPrice,EUPrice,OwnedBy,WantedBy,Disney,Marvel,Star Wars,WB,Universal,Other or unknown media license,Theme_Bionicle,Theme_BrickHeadz,Theme_Bricks and More,Theme_Cars,Theme_Castle,Theme_City,Theme_Classic,Theme_Collectable Minifigures,Theme_Creator,Theme_Creator Expert,Theme_DC Comics Super Heroes,Theme_DC Super Hero Girls,Theme_Dimensions,Theme_Dino,Theme_Disney,Theme_Dots,Theme_Duplo,Theme_Education,Theme_Elves,Theme_Friends,Theme_Games,Theme_HERO Factory,Theme_Harry Potter,Theme_Hidden Side,Theme_Ideas,Theme_Juniors,Theme_Jurassic World,Theme_Legends of Chima,Theme_Marvel Super Heroes,Theme_Mindstorms,Theme_Minecraft,Theme_Mixels,Theme_Monkie Kid,Theme_Monster Fighters,Theme_Nexo Knights,Theme_Ninjago,Theme_Other theme,Theme_Overwatch,Theme_Pharaoh's Quest,Theme_Pirates,Theme_Pirates of the Caribbean,Theme_Powered Up,Theme_Racers,Theme_Seasonal,Theme_Space,Theme_Speed Champions,Theme_Star Wars,Theme_Super Mario,Theme_Technic,Theme_Teenage Mutant Ninja Turtles,Theme_The Angry Birds Movie,Theme_The Hobbit,Theme_The LEGO Batman Movie,Theme_The LEGO Movie,Theme_The LEGO Ninjago Movie,Theme_The Lego Movie 2: The Second Part,Theme_The Lone Ranger,Theme_The Lord of the Rings,Theme_Toy Story,Theme_Trolls World Tour,Theme_Ultra Agents,Theme_Unikitty,Theme_Xtra,Subtheme_Airjitzu,Subtheme_Airport,Subtheme_Alien Conquest,Subtheme_Amusement Park,Subtheme_An Unexpected Journey,Subtheme_Architect Series,Subtheme_Arctic,Subtheme_Avengers,Subtheme_Avengers: Age of Ultron,Subtheme_Avengers: Endgame,Subtheme_Avengers: Infinity War,Subtheme_Batman,Subtheme_Blind bags series 1,Subtheme_Booster pack,Subtheme_Bracelets,Subtheme_Brain Attack,Subtheme_Breakout,Subtheme_Buildable Figures,Subtheme_Cars,Subtheme_Cars 2,Subtheme_Cars 3,Subtheme_Chinese New Year,Subtheme_Christmas,Subtheme_Cinderella,Subtheme_City,Subtheme_Coast Guard,Subtheme_Companions,Subtheme_Constraction,Subtheme_Construction,Subtheme_DC Comics Super Heroes,Subtheme_DC Extended Universe,Subtheme_DC Super Heroes,Subtheme_Deep Sea Explorers,Subtheme_Disney,Subtheme_Disney Princess,Subtheme_Disney Series 2,Subtheme_Duplo,Subtheme_EV3,Subtheme_Easter,Subtheme_Episode I,Subtheme_Episode II,Subtheme_Episode III,Subtheme_Episode IV,Subtheme_Episode V,Subtheme_Episode VI,Subtheme_Expansion Set,Subtheme_Fallen Kingdom,Subtheme_Ferrari,Subtheme_Fire,Subtheme_Fire vs. Ice,Subtheme_Forest Police,Subtheme_Friends,Subtheme_Frozen,Subtheme_Frozen II,Subtheme_Fun Pack,Subtheme_Galaxy Squad,Subtheme_General,Subtheme_Great Vehicles,Subtheme_Halloween,Subtheme_Harry Potter series 1,Subtheme_Harry Potter series 2,Subtheme_Hunted,Subtheme_Invasion From Below,Subtheme_Jake and the Never Land Pirates,Subtheme_Jungle,Subtheme_Jungle Rescue,Subtheme_Justice League,Subtheme_Landmark Series,Subtheme_Legacy,Subtheme_Legend of Isla Nublar,Subtheme_Level Pack,Subtheme_Licensed,Subtheme_Marvel Super Heroes,Subtheme_Master of the Mountain,Subtheme_MicroFighters,Subtheme_Microfighters,Subtheme_Mighty Micros,Subtheme_Minifig-scale,Subtheme_Mining,Subtheme_Miscellaneous,Subtheme_Modular Buildings,Subtheme_Mountain Police,Subtheme_None,Subtheme_Ordeal of Fire,Subtheme_Original Content,Subtheme_Other subtheme,Subtheme_Outlands,Subtheme_Palace Pets,Subtheme_Party,Subtheme_Pilot Season,Subtheme_Planet Set,Subtheme_Play Cube,Subtheme_Police,Subtheme_Pop Star,Subtheme_Porsche,Subtheme_Possession,Subtheme_Prime Empire,Subtheme_Prison Island,Subtheme_Promotional,Subtheme_Rebels,Subtheme_Reboot Villains,Subtheme_Rebooted,Subtheme_Rise of the Snakes,Subtheme_Rogue One,Subtheme_Savage Planet,Subtheme_Season 1,Subtheme_Season 2,Subtheme_Season 3,Subtheme_Season 4,Subtheme_Season 5,Subtheme_Seasonal,Subtheme_Secrets of the Forbidden Spinjitzu,Subtheme_Series 03,Subtheme_Series 04,Subtheme_Series 05,Subtheme_Series 06,Subtheme_Series 07,Subtheme_Series 08,Subtheme_Series 09,Subtheme_Series 1,Subtheme_Series 10,Subtheme_Series 11,Subtheme_Series 12,Subtheme_Series 13,Subtheme_Series 14,Subtheme_Series 15,Subtheme_Series 16,Subtheme_Series 17,Subtheme_Series 18,Subtheme_Series 19,Subtheme_Series 2,Subtheme_Series 20,Subtheme_Series 3,Subtheme_Series 4,Subtheme_Series 5,Subtheme_Series 6,Subtheme_Series 7,Subtheme_Series 8,Subtheme_Series 9,Subtheme_Sky Police,Subtheme_Skybound,Subtheme_Skylines,Subtheme_Solo,Subtheme_Sons of Garmadon,Subtheme_Space,Subtheme_Speedorz,Subtheme_Spider-Man,Subtheme_Spinjitzu,Subtheme_Spinjitzu Masters,Subtheme_Spinners,Subtheme_Star Wars,Subtheme_Summer,Subtheme_Swamp Police,Subtheme_TV Series,Subtheme_Tangled,Subtheme_Team GB,Subtheme_Team Pack,Subtheme_Thanksgiving,Subtheme_The Avengers,Subtheme_The Clone Wars,Subtheme_The Desolation of Smaug,Subtheme_The Fellowship of the Ring,Subtheme_The Final Battle,Subtheme_The Force Awakens,Subtheme_The Hands of Time,Subtheme_The LEGO Batman Movie,Subtheme_The LEGO Batman Movie series 2,Subtheme_The LEGO Movie,Subtheme_The LEGO Movie 2: The Second Part,Subtheme_The LEGO Ninjago Movie,Subtheme_The Last Jedi,Subtheme_The Little Mermaid,Subtheme_The Rise of Skywalker,Subtheme_The Simpsons,Subtheme_The Simpsons series 2,Subtheme_Toa,Subtheme_Tournament of Elements,Subtheme_Town,Subtheme_Toy Story 4,Subtheme_Traffic,Subtheme_Trains,Subtheme_Ultimate,Subtheme_Ultimate Collector Series,Subtheme_Ultimate Spider-Man,Subtheme_Valentine's Day,Subtheme_Vehicles,Subtheme_Vet,Subtheme_Volcano Explorers,Subtheme_Winter Village,Subtheme_Zoo
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.640472207576408,6.498282149476434,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.3862943611198906,2.49,3.99,4.878630950541085,3.9592600797682853,8.696175846944678,6.539585955617669,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.764678074116606,6.535241271013659,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.636752426473876,6.428105272684596,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.584851839890053,6.677083461247136,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.6094379124341003,2.49,3.99,4.878630950541085,3.9592600797682853,8.536407410340042,6.489204931325317,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.6094379124341003,2.49,3.99,4.878630950541085,3.9592600797682853,8.558335134747413,6.608000625296087,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.6094379124341003,2.49,3.99,4.878630950541085,3.9592600797682853,8.511376306094673,6.535241271013659,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.52377150677636,6.46302945692067,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.531096096585228,6.429719478039138,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.6094379124341003,2.49,3.99,4.878630950541085,3.9592600797682853,8.752265313595721,6.480044561926653,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.9459101490553132,2.49,3.99,4.878630950541085,3.9592600797682853,8.517393171418904,6.447305862541213,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.791759469228055,2.49,3.99,4.878630950541085,3.9592600797682853,8.62748154531036,6.4457198193855785,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.6931471805599453,1.6094379124341003,2.49,3.99,4.878630950541085,3.9592600797682853,8.637284671674058,6.46302945692067,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.0,4.30406509320417,3.276201845795301,3.99,4.878630950541085,3.9592600797682853,8.192570471152173,6.142037405587356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.0,4.219507705176107,4.99,4.99,6.99,4.99,8.185350223178686,5.805134968916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.0,3.9889840465642745,4.99,4.99,6.99,4.99,8.323851131338817,5.991464547107982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,0.0,4.890349128221754,9.99,9.99,12.99,9.99,7.975564658495202,5.961005339623274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
